"","text","score"
"1",the walk dead democrat parti feel power melt away they shriek it burn red trump tsunami rise,0.25
"2",daili natga fell aggress sharpli rise lower bb anytim happen dead cat bounc need,0
"3",toheart rise dead biggest plot twist m still shaken,0
"4",me rise dead whenev dnp post someth,0
"5",big save titl like yakuza dead rise,0.5
"6",it took youtub month approv review dead rise ad friend presum,0
"7",a man found dead gunshot wound admir quarter cornelius overnight polic investi,0
"8",what it rise alreadi what famili oh dead,0
"9",i ad video playlist dead rise all survivor guid step step recommend play,0.666666666666667
"10",dead rise episod hate boss much,0
"11",rise dead rihanna final releas new music,0
"12",here chanc listen someth great car,1
"13",earn psn trophi bronz dead rise,0
"14",dead rise episod help come,0
"15",the dead rise collect x por baja un,0
"17",jojo bizarr adventur eye of heaven super mario odyssey mario striker charg ultim marvel vs,1
"18",dead rise record metal gear solid rainbow six seig resid evil need speed underground,0.333333333333333
"19",what happen wellrespect doctor challeng vaccin polici kill patient an unbeliev stor,0.5
"20",as much i love dp i offend dead rise,0.333333333333333
"21",dead rise episod hate boss much live,0
"22",such hilari stream today love love just mess much dead rise xd thank everi,0.6
"26",fire brimston fall sky river sea boil the dead rise g,0
"29",and peopl wonder dead rise shitshow,0.5
"30",rise labor day dead fulli appreci th straight day colleg footbal,0
"31",dead rise savethemexican,0
"32",live tuepris i play danganronpa trigger happi havoc dead rise super pape,0.333333333333333
"33",volbeat dead but rise hd with lyric,0
"34",i like video dead rise gameplay walkthrough part full game p no commentari,0.5
"35",natga daili natga fell aggress sharpli rise lower bb anytim happen dead cat bounc ne,0
"36",let dead rise go back way,0
"37",rise dead accord scriptur seen appear it mu,0
"38",the last us fallout new vega the witcher dead rise the walk dead,0
"39",believ forgot dead premonit put one instead dead rise,0
"40",play dead rise today twitch,0
"41",dead rise halflifeblack mesa fallout new vega hotlin miami warfram c,0
"42",christian persecut terribl right now arm bandit invad seminari kill destroy l,0.333333333333333
"43",guilti gear xrd rev capcom vs snk fallout dead rise off the record metroid prime,0
"44",psychonaut hollow knight dead rise persona castlevania order ecclesia,0
"46",so far got vote dead rise est get vote we go live,0
"47",toheart rise dead biggest plot twist m still shaken,0
"48",dead rise episod help come live,0
"49",fallout newvega resid evil terraria dead rise crush crush,0
"50",dead rise seri halo seri red dead redempt gta san andreastough call comma,0
"51",dead rise endgam,0
"52",i ad video playlist how download instal dead rise free pc,0.5
"53",ace combat thousand year door dead rise majora nier,0
"54",convict dead rise,0
"55",how download instal dead rise free pc,0.5
"56",i like video let play dead rise part the end,0.5
"57",honest tay god rotten mob caus noth bother sinc rise dead absolut embarrass club,0.2
"58",livestream start join dead rise w youtub twitch,0
"59",base two sister lookalik game charact subject hoax shown,0
"60",rise wedg low volum just anoth dead cat bounc go hard,0
"61",the smear peopl wake fetishis jeremi corbyn,0
"62",me rise dead whenev dnp post someth,0
"63",cant go wrong dead rise,0
"64",dead rise pc be evil pay off,0
"65",live right now have look second time dead rise with pan day zom op time the clock,0.333333333333333
"66",hello tonight i will stream dead rise hubbi should pretti funni wr,0
"67",propaganda i rememb kid someon call communist said dead rise suck,0
"68",dead rise work chat,0.5
"69",my fallout batman arkham citi super smash bros dead rise and dishonor that isn,0.2
"70",i like video let play dead rise part the end,0.5
"71",i want feet high rise de la soul dead digit,0
"72",dead rise,0
"73",live right now have look second time dead rise with pan day zom op time,0.333333333333333
"74",toheart rise dead biggest plot twist m still shaken,0
"75",probabl dead rise,0
"76",yes speak jesus rise dead seen,0
"78",icymi came special bonus reaction episod yesterday listen derek matt zack kati,1
"79",toheart rise dead biggest plot twist m still shaken,0
"80",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"81",toheart rise dead biggest plot twist m still shaken,0
"82",toheart rise dead biggest plot twist m still shaken,0
"84",kara lover back dead too bad rather kill kiss read shadow rise today,0.25
"85",sore hell mountain bike readi get back routin this week hit hard sil,0
"86",icymi came special bonus reaction episod yesterday listen derek matt zack k,1
"87",assassin creed f game the sim life strang dead rise,0
"91",yakuza lamulana persona mystic ninja star goemon dead rise off the record,0
"93",let dead rise go back way,0
"94",silent hill dead rise rule rose resid evil hatsun miku project mirai dx,0.333333333333333
"95",the legend zelda the wind waker donkey kong countri mass effect super mario galaxi dead risi,0.5
"96",at least dead yearold majerhat flyover collaps kolkata rescuer work dark rain,0.333333333333333
"97",xbox dead rise x halo switch bind isaac ps bloodborn pronto xd,0
"98",my account balanc rise dead peopl send money everi time,0
"99",my account balanc rise dead peopl send money everi time,0
"100",check dead rise xbox one disc onli,0
"101",been way quit now halo noth like same can said though mayb,1
"102",i saw dead rise xbox go like ten twenti dollar dollar store along oth,0.5
"103",this fuck hard metal gear solidris seri silent hill seri especi the room homeco,0.333333333333333
"104",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"105",rise roll dead af,0
"106",dead island dead rise left dead fallout mkx,0
"108",check broadcast playstat dead rise frank big packag live,0
"109",buy dead rise apocalyps edit uncut over,0
"110",i purchas dead rise today dlc im ask i buy game sooner it silli,0
"111",im good ive better idk but im final rise from the dead i miss you too bub,0.5
"112",grand rise hueman,1
"113",banjo kazooi jet set radio futur dead rise no more hero super mario rpg,0.666666666666667
"114",journal rise dead it aliv roar,0
"115",catch dead i start frame issu fascist rise polit promin problem get good media job,0.25
"116",got petunia rise dead morn glori bloom had put tiki torch keep t,0.5
"117",the walk dead democrat parti feel power melt away they shriek it burn red trump tsunami rise,0.25
"118",let play dead rise part the end,0
"119",that rise dead look like,0.5
"120",check broadcast playstat dead rise live,0
"121",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"122",today tea nomin markhyuck dead noren markmin rise,0
"123",today tea nomin markhyuck dead noren markmin rise,0
"124",the walk dead democrat parti feel power melt away they shriek it burn red trump tsunami rise,0.25
"125",when read aloud ancient tome expect start glow nor expect hear fain,1
"126",the walk dead democrat parti feel power melt away they shriek it burn red trump tsunami rise,0.25
"127",the walk dead democrat parti feel power melt away they shriek it burn red trump tsunami rise,0.25
"130",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"131",muh rise wedg muh eth dead muh k short short short,0
"132",sonic mania final fantasi vii dead rise metal gear solid batman arkham asylum,0.333333333333333
"133",see thing my main ps the switch hard get touch the first xbox one s us,0
"134",earn psn trophi silver dead rise,0
"135",kingdom heart yakuza legend zelda wind waker resid evil dead rise,0
